Text Representation,Fusion,F1,AUC,Accuracy,DP_Gap_Gender,EOO_Gap_Gender,DI_Gender,DP_Gap_Ethnicity,DI_Ethnicity
None (Structured Only),N/A,0.9359,0.9866,0.9367,0.0115,0.0043,0.977,0.0218,0.9572
SBERT (all-MiniLM-L6-v2),Early Fusion,0.8141,0.9033,0.8088,0.0019,0.0056,0.9965,0.0472,0.9155
